               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10278,            0.063189,               0.102,           0.0030208,             0.10643,           0.0033001,           0.0010442,            0.082801,            0.044359,            0.091295,            0.070811,           0.0032432,           0.0032432
                   1,            0.083394,            0.036842,            0.088087,             0.63745,            0.087672,            0.030235,           0.0086709,            0.092634,            0.030003,            0.078713,            0.040778,            0.006544,            0.006544
                   2,            0.084691,            0.027385,            0.079606,             0.90421,            0.085461,            0.057836,            0.016696,            0.076952,            0.035055,            0.071362,            0.010713,           0.0098118,           0.0098118
                   3,            0.074373,            0.025727,            0.073262,             0.93299,            0.086826,             0.08661,            0.030771,            0.069694,            0.034152,            0.068371,           0.0098515,           0.0098515,           0.0098515
                   4,             0.06738,            0.021774,            0.069844,             0.94616,             0.11134,             0.12461,            0.052863,            0.058613,            0.026667,            0.062847,           0.0098515,           0.0098515,           0.0098515
                   5,            0.057033,            0.021272,            0.064734,             0.93969,             0.11526,             0.11794,            0.067576,            0.057924,             0.02412,            0.060766,            0.009802,            0.009802,            0.009802
                   6,            0.054295,            0.019953,            0.061974,             0.95047,             0.10297,             0.10433,             0.03587,            0.052409,            0.022755,            0.058172,           0.0097525,           0.0097525,           0.0097525
                   7,            0.051008,            0.019265,            0.059621,             0.95918,             0.12053,             0.14188,             0.05968,            0.041731,            0.019972,            0.055467,            0.009703,            0.009703,            0.009703
                   8,            0.044569,            0.017594,             0.05881,             0.97251,             0.12336,             0.15981,            0.082597,            0.038425,            0.018482,            0.053439,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042837,            0.016873,            0.054251,             0.96604,             0.12973,             0.17296,            0.085139,            0.040041,             0.01905,            0.051937,            0.009604,            0.009604,            0.009604
                  10,            0.043983,            0.016821,            0.054075,             0.95597,             0.14504,              0.1972,             0.13282,            0.037308,            0.017785,            0.050672,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042552,            0.017003,            0.052422,             0.95317,             0.15378,             0.21829,             0.11896,            0.042648,             0.01797,            0.049516,            0.009505,            0.009505,            0.009505
                  12,            0.041297,            0.016542,            0.050752,             0.97069,             0.14866,             0.23539,             0.11644,            0.037419,             0.01745,            0.047635,           0.0094555,           0.0094555,           0.0094555
                  13,            0.040142,            0.016442,            0.049273,             0.84149,             0.19854,             0.25514,             0.16547,            0.030502,            0.017323,            0.046165,            0.009406,            0.009406,            0.009406
                  14,            0.037591,            0.015425,            0.047975,             0.80018,             0.20751,             0.26015,              0.1302,            0.040658,            0.017742,            0.045078,           0.0093565,           0.0093565,           0.0093565
                  15,            0.040772,            0.015387,            0.046677,             0.93153,             0.18559,             0.27381,             0.16593,            0.033422,            0.017182,            0.043623,            0.009307,            0.009307,            0.009307
                  16,            0.037284,            0.015465,            0.044568,             0.87724,             0.20164,             0.29069,             0.18178,            0.034019,            0.016957,            0.042534,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035615,            0.014673,            0.043864,             0.81478,                0.23,             0.30155,             0.18642,            0.032371,            0.016687,             0.04161,            0.009208,            0.009208,            0.009208
                  18,            0.034863,            0.014642,            0.042861,             0.80606,             0.27153,             0.33016,             0.20831,            0.030849,            0.016445,            0.040644,           0.0091585,           0.0091585,           0.0091585
                  19,             0.03578,             0.01535,             0.04038,             0.89729,             0.24695,             0.33322,             0.21171,            0.030764,            0.017385,            0.039525,            0.009109,            0.009109,            0.009109
                  20,            0.036283,            0.014255,            0.038708,              0.8823,             0.27016,             0.34639,             0.18832,            0.035435,            0.017221,            0.038731,           0.0090595,           0.0090595,           0.0090595
                  21,            0.037262,            0.014473,            0.038396,             0.79683,             0.32705,             0.36286,              0.2215,            0.030445,            0.016625,            0.037939,             0.00901,             0.00901,             0.00901
                  22,            0.033492,            0.014334,            0.036919,             0.78606,             0.36126,               0.385,             0.23401,            0.031056,            0.016597,            0.036677,           0.0089605,           0.0089605,           0.0089605
                  23,            0.035285,            0.014476,            0.036074,              0.8532,             0.34202,             0.39694,             0.24387,             0.03236,            0.016805,            0.035341,            0.008911,            0.008911,            0.008911
                  24,            0.037041,             0.01441,            0.033794,             0.82639,             0.35755,             0.39115,             0.21553,            0.033283,            0.016479,             0.03458,           0.0088615,           0.0088615,           0.0088615
                  25,            0.032051,            0.013768,            0.035124,             0.80312,             0.35278,             0.38265,             0.23624,            0.030197,            0.016257,             0.03337,            0.008812,            0.008812,            0.008812
                  26,            0.032987,            0.013001,            0.032577,              0.8808,             0.32429,             0.40722,             0.25677,            0.028093,            0.016783,            0.032414,           0.0087625,           0.0087625,           0.0087625
                  27,            0.032895,            0.013791,             0.03227,             0.83815,             0.34452,             0.39001,             0.23789,            0.030466,            0.016361,            0.031542,            0.008713,            0.008713,            0.008713
                  28,              0.0342,            0.014179,            0.031998,             0.83521,             0.34974,             0.40481,             0.24659,            0.030695,            0.016599,            0.031653,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033846,             0.01347,            0.030459,             0.85403,             0.38683,             0.41527,             0.27739,            0.028057,             0.01657,            0.030755,            0.008614,            0.008614,            0.008614
                  30,            0.033616,            0.013639,            0.030169,             0.80017,             0.39369,              0.4453,             0.28263,            0.030082,            0.016786,            0.030212,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03415,            0.013533,            0.029403,             0.79183,             0.40984,             0.43267,             0.26199,            0.028889,            0.016662,             0.02931,            0.008515,            0.008515,            0.008515
                  32,            0.031503,            0.013032,             0.02802,             0.85345,             0.36563,             0.40801,             0.26038,            0.028537,            0.017118,            0.029373,           0.0084655,           0.0084655,           0.0084655
                  33,            0.031777,            0.013574,            0.028131,             0.83006,             0.40276,              0.4191,              0.2738,            0.026824,            0.016512,            0.028139,            0.008416,            0.008416,            0.008416
